date,open,high,low,close,volume,dividend,split
2018/2/15,18170,18500,18030,18310,11069294,0,1
2018/2/16,18490,18990,18380,18720,11512610,0,1
2018/2/19,19030,19490,18950,19480,8973112,0,1
2018/2/20,19330,19330,18920,19070,8880709,0,1
2018/2/21,19140,19470,18920,19190,11383475,0,1
2018/2/22,18830,18880,18550,18750,9048187,0,1
2018/2/23,18860,19040,18750,19020,6602391,0,1
2018/2/26,19490,19650,19310,19520,7749023,0,1
2018/2/27,19900,20130,19800,19920,8577872,0,1
2018/2/28,19740,19900,19400,19420,9069978,0,1
2018/3/1,19100,19100,18600,18750,10777175,0,1
2018/3/2,17850,17970,17640,17800,14945833,0,1
2018/3/5,17550,17780,17390,17590,10949173,0,1
2018/3/6,18240,18420,18160,18210,8624190,0,1
2018/3/7,17940,18310,17820,17900,9868172,0,1
2018/3/8,18300,18320,17960,18050,6556552,0,1
2018/3/9,18400,18990,18070,18230,15288672,0,1
2018/3/12,19030,19140,18630,18910,10323674,0,1
2018/3/13,18720,19110,18650,19110,7063796,0,1
2018/3/14,18760,18970,18610,18780,7842069,0,1
2018/3/15,18650,18870,18390,18840,7636225,0,1
2018/3/16,18900,18930,18520,18600,6218596,0,1
2018/3/19,18360,18580,18050,18260,7502070,0,1
2018/3/20,17940,18100,17830,18090,6729086,0,1
2018/3/22,18070,18450,18050,18450,6787466,0,1
2018/3/23,17380,17430,16640,16750,17703514,0,1
2018/3/26,16400,17000,16300,17000,11611727,0,1
2018/3/27,17340,17890,17300,17870,13430994,0,1
2018/3/28,17410,17720,17280,17720,11757970,0,1
2018/3/29,18120,18170,17660,17910,9965729,0,1
2018/3/30,18310,18550,18200,18440,8513811,0,1
2018/4/2,18400,18700,18340,18340,7096008,0,1
2018/4/3,17770,18240,17750,18150,8084219,0,1
2018/4/4,18390,18400,18070,18210,8201263,0,1
2018/4/5,18610,18940,18450,18790,9987111,0,1
2018/4/6,18730,18950,18610,18680,11593458,0,1
2018/4/9,18580,18940,18550,18840,6290987,0,1
2018/4/10,18670,19270,18580,19030,10812049,0,1
2018/4/11,19130,19140,18850,18850,6786851,0,1
2018/4/12,18830,18890,18670,18800,5138415,0,1
2018/4/13,19050,19230,18940,19010,7197192,0,1
2018/4/16,19120,19180,18980,19110,5485215,0,1
2018/4/17,19060,19190,18980,19130,4855930,0,1
2018/4/18,19240,19720,19230,19680,8442428,0,1
2018/4/19,19820,20010,19700,19720,7693904,0,1
2018/4/20,19650,19850,19520,19680,5978701,0,1
2018/4/23,19690,19750,19500,19550,4582464,0,1
2018/4/24,19820,19900,19650,19890,5104657,0,1
2018/4/25,19590,19790,19520,19790,7262104,0,1
2018/4/26,19960,20060,19870,19950,6191755,0,1
2018/4/27,20070,20250,20010,20230,6768261,0,1
2018/5/1,20200,20310,20120,20290,3770270,0,1
2018/5/2,20380,20380,20130,20190,4113409,0,1
2018/5/7,20290,20300,19990,20210,4343942,0,1
2018/5/8,20130,20380,20110,20280,4358747,0,1
2018/5/9,20180,20230,20020,20110,5128124,0,1
2018/5/10,20260,20320,20120,20260,3973518,0,1
2018/5/11,20380,20760,20380,20760,6674455,0,1
2018/5/14,20730,20950,20690,20920,4559431,0,1
2018/5/15,20950,20990,20800,20820,3684314,0,1
2018/5/16,20660,20780,20620,20660,3762253,0,1
2018/5/17,20820,20930,20790,20880,3735524,0,1
2018/5/18,21000,21060,20910,21010,4012885,0,1
2018/5/21,21030,21240,21030,21160,4215444,0,1
2018/5/22,21190,21200,21070,21080,2722814,0,1
2018/5/23,20910,21060,20520,20580,7221197,0,1
2018/5/24,20450,20500,20000,20130,7303416,0,1
2018/5/25,19980,20260,19900,20170,5515586,0,1
2018/5/28,20220,20320,20070,20200,2863321,0,1
2018/5/29,20100,20130,19760,19960,4825225,0,1
2018/5/30,19310,19490,19210,19370,7117136,0,1
2018/5/31,19670,19780,19510,19720,4880294,0,1
2018/6/1,19560,19910,19520,19620,5208644,0,1
2018/6/4,20000,20250,19970,20180,4089995,0,1
2018/6/5,20330,20400,20160,20280,3781767,0,1
2018/6/6,20280,20500,20220,20460,3350909,0,1
2018/6/7,20720,20860,20670,20800,4957625,0,1
2018/6/8,20770,20910,20550,20550,4673689,0,1
2018/6/11,20540,20840,20510,20790,3277461,0,1
2018/6/12,21100,21130,20740,20930,8059838,0,1
2018/6/13,20930,21090,20910,21060,3935509,0,1
2018/6/14,20840,20940,20650,20650,4232503,0,1
2018/6/15,20920,20930,20710,20870,4343472,0,1
2018/6/18,20770,20780,20400,20530,4578967,0,1
2018/6/19,20340,20430,19820,19830,7774425,0,1
2018/6/20,19950,20350,19620,20300,7303730,0,1
2018/6/21,20240,20710,20180,20570,7305235,0,1
2018/6/22,20100,20260,20060,20260,5335562,0,1
2018/6/25,20310,20320,19870,19910,5657893,0,1
2018/6/26,19630,19980,19490,19950,6050810,0,1
2018/6/27,19950,20000,19730,19840,4218212,0,1
2018/6/28,19750,19890,19440,19850,7552926,0,1
2018/6/29,19940,19950,19610,19900,4848987,0,1
2018/7/2,19770,19920,18960,19000,8273322,0,1
2018/7/3,19140,19220,18580,18950,9832324,0,1
2018/7/4,18740,18950,18630,18840,4436520,0,1
2018/7/5,18790,18880,18390,18560,6428154,0,1
2018/7/6,18750,19100,18700,19000,7681746,0,1
2018/7/9,19120,19500,19080,19400,4797033,0,1
2018/7/10,19680,19880,19650,19700,5425511,0,1
2018/7/11,19320,19390,18880,19180,9755745,0,1
2018/7/12,19360,19720,19340,19650,5599290,0,1
2018/7/13,20050,20530,20050,20390,8729434,0,1
2018/7/17,20370,20800,20330,20550,5756378,0,1
2018/7/18,20950,21000,20730,20750,5636397,0,1
2018/7/19,20880,20950,20660,20700,5931380,0,1
2018/7/20,20600,20870,20250,20550,8333880,0,1
2018/7/23,20120,20200,19900,19970,6485765,0,1
2018/7/24,20270,20280,20030,20200,4383399,0,1
2018/7/25,20360,20450,20260,20380,4206294,0,1
2018/7/26,20420,20440,20250,20330,4321565,0,1
2018/7/27,20430,20540,20340,20540,4345888,0,1
2018/7/30,20380,20430,20210,20270,4413739,0,1
2018/7/31,20130,20520,19920,20290,7735159,0,1
2018/8/1,20460,20660,20400,20630,5205716,0,1
2018/8/2,20500,20640,20100,20160,6657354,0,1
2018/8/3,20370,20380,20150,20210,4238826,0,1
2018/8/6,20240,20390,20150,20190,4522580,0,1
2018/8/7,20280,20470,20220,20440,3344298,0,1
2018/8/8,20450,20700,20350,20450,5015686,0,1
2018/8/9,20320,20430,20170,20370,3699222,0,1
2018/8/10,20370,20380,19750,19840,6407885,0,1
2018/8/13,19510,19520,19000,19040,9078194,0,1
2018/8/14,19360,19870,19340,19860,6945360,0,1
2018/8/15,19900,19920,19450,19650,5592771,0,1
2018/8/16,19150,19700,19060,19650,8805690,0,1
2018/8/17,19850,19880,19690,19770,3814672,0,1
2018/8/20,19690,19770,19520,19630,3475130,0,1
2018/8/21,19480,19800,19360,19690,4835744,0,1
2018/8/22,19650,19950,19540,19880,4719720,0,1
2018/8/23,19990,20080,19920,19970,4587034,0,1
2018/8/24,20140,20330,20070,20320,4966486,0,1
2018/8/27,20470,20760,20450,20700,5557151,0,1
2018/8/28,20980,21050,20710,20730,5581418,0,1
2018/8/29,20750,21010,20740,20820,4828059,0,1
2018/8/30,21130,21150,20770,20840,6556844,0,1
2018/8/31,20560,20880,20500,20820,5489780,0,1
2018/9/3,20750,20770,20520,20560,4258479,0,1
2018/9/4,20640,20640,20370,20540,4413937,0,1
2018/9/5,20480,20540,20300,20350,4930969,0,1
2018/9/6,20130,20240,20050,20150,5257532,0,1
2018/9/7,19900,19920,19590,19830,7987949,0,1
2018/9/10,19760,20000,19740,19980,4715537,0,1
2018/9/11,20100,20470,20080,20460,5675448,0,1
2018/9/12,20550,20560,20210,20350,5422516,0,1
2018/9/13,20410,20820,20400,20750,6274482,0,1
2018/9/14,21060,21270,20990,21240,8006613,0,1
2018/9/18,21180,21960,21140,21870,8824431,0,1
2018/9/19,22500,22640,22350,22350,7913494,0,1
2018/9/20,22490,22550,22150,22350,7089077,0,1
2018/9/21,22700,22910,22520,22750,7402317,0,1
2018/9/25,22700,22840,22600,22830,4529878,0,1
2018/9/26,22960,23300,22920,23300,6161845,0,1
2018/9/27,23120,23430,22820,22890,9113064,0,1
2018/9/28,23390,23800,23280,23500,9099500,0,1
2018/10/1,23600,23870,23510,23780,7430636,0,1
2018/10/2,23990,24120,23670,23780,8943325,0,1
2018/10/3,23670,23780,23320,23470,7195563,0,1
2018/10/4,23740,23760,23110,23180,7491989,0,1
2018/10/5,22830,23130,22730,22850,7309491,0,1
2018/10/9,22390,22470,22180,22280,8352591,0,1
2018/10/10,22340,22460,22050,22320,7436079,0,1
2018/10/11,20770,21060,20290,20560,18870037,0,1
2018/10/12,20400,20810,20230,20800,12426338,0,1
2018/10/15,20410,20430,19950,19970,11804528,0,1
2018/10/16,19990,20440,19950,20440,10178160,0,1
2018/10/17,20980,21160,20820,20940,9169516,0,1
2018/10/18,20990,21020,20590,20610,6836045,0,1
2018/10/19,20000,20420,19820,20390,11398584,0,1
2018/10/22,20120,20640,19920,20550,9025511,0,1
2018/10/23,20170,20180,19410,19440,13631479,0,1
2018/10/24,19750,19800,19270,19600,11691499,0,1
2018/10/25,18400,18550,17990,18100,15378001,0,1
2018/10/26,18460,18480,17590,17970,15337112,0,1
2018/10/29,18210,18450,17840,17910,10278615,0,1
2018/10/30,17690,18610,17670,18420,11172041,0,1
2018/10/31,18760,19200,18610,19170,8850173,0,1
2018/11/1,19010,19130,18700,18790,8290918,0,1
2018/11/2,19010,19870,18990,19760,13723813,0,1
2018/11/5,19210,19430,19100,19120,7337984,0,1
2018/11/6,19410,19600,19320,19570,4992998,0,1
2018/11/7,19630,20100,19300,19500,14705554,0,1
2018/11/8,20230,20350,20120,20160,9479185,0,1
2018/11/9,20110,20190,19720,19770,7014784,0,1
2018/11/12,19510,19890,19390,19790,5639199,0,1
2018/11/13,18800,19000,18380,18980,12651734,0,1
2018/11/14,19040,19280,18880,19030,7003763,0,1
2018/11/15,18700,19000,18640,18960,6694031,0,1
2018/11/16,19000,19090,18710,18760,6370985,0,1
2018/11/19,18720,19050,18720,18990,4373098,0,1
2018/11/20,18500,18760,18490,18570,5576489,0,1
2018/11/21,18000,18530,17970,18470,7504409,0,1
2018/11/22,18590,18750,18400,18710,6002838,0,1
2018/11/26,18720,19000,18660,18990,5273284,0,1
2018/11/27,19260,19300,18970,19240,5837559,0,1
2018/11/28,19420,19660,19360,19630,6037634,0,1
2018/11/29,19950,20060,19710,19720,6541171,0,1
2018/11/30,19790,19930,19700,19930,4868948,0,1
2018/12/3,20370,20520,20240,20320,8840903,0,1
2018/12/4,20250,20310,19320,19360,10223168,0,1
2018/12/5,18790,19240,18760,19110,10224223,0,1
2018/12/6,18890,18930,18040,18400,12824572,0,1
2018/12/7,18610,18790,18390,18690,7663988,0,1
2018/12/10,18000,18070,17820,17920,7729622,0,1
2018/12/11,18000,18040,17640,17790,8252238,0,1
2018/12/12,18140,18590,18060,18570,7407795,0,1
2018/12/13,18800,19000,18670,18890,6481682,0,1
2018/12/14,18680,18800,18090,18140,9554278,0,1
2018/12/17,18160,18460,18120,18380,4499098,0,1
2018/12/18,17860,18070,17670,17720,8768017,0,1
2018/12/19,17660,17800,17300,17500,10448149,0,1
2018/12/20,17100,17240,16280,16450,14643293,0,1
2018/12/21,16320,16390,15850,16130,10511224,0,1
2018/12/25,14930,14990,14430,14480,12123309,0,1
2018/12/26,14940,15130,14230,14800,11852077,0,1
2018/12/27,15980,16170,15600,15930,15221658,0,1
2018/12/28,15800,15970,15660,15820,10406652,0,1
2019/1/4,14900,15080,14610,15060,12823496,0,1
2019/1/7,16040,16220,15830,15850,8945681,0,1
2019/1/8,16100,16360,15970,16170,8964009,0,1
2019/1/9,16380,16600,16320,16480,7607513,0,1
2019/1/10,16230,16360,15950,16050,8112991,0,1
2019/1/11,16280,16420,16260,16380,6946546,0,1
2019/1/15,16130,16720,16090,16660,7416416,0,1
2019/1/16,16720,16720,16310,16500,7513724,0,1
2019/1/17,16660,16700,16340,16430,6536203,0,1
2019/1/18,16570,16900,16520,16880,7421670,0,1
2019/1/21,17200,17240,16880,16930,7266121,0,1
2019/1/22,17040,17100,16680,16750,5017106,0,1
2019/1/23,16520,16910,16490,16740,6139585,0,1
2019/1/24,16630,16800,16550,16730,5186471,0,1
2019/1/25,16760,17140,16760,17060,6896656,0,1
2019/1/28,17010,17020,16780,16820,5885985,0,1
2019/1/29,16660,16880,16430,16850,6869175,0,1
2019/1/30,16920,16920,16620,16700,5130831,0,1
2019/1/31,17150,17190,16880,17040,7069982,0,1
2019/2/1,17060,17290,16970,17020,7317230,0,1
2019/2/4,17090,17270,17080,17190,4452231,0,1
2019/2/5,17330,17350,17100,17110,4353530,0,1
2019/2/6,17280,17330,17150,17180,5281766,0,1
2019/2/7,17220,17250,16830,16990,5704265,0,1
2019/2/8,16590,16670,16260,16300,7440715,0,1
2019/2/12,16480,17180,16450,17150,7653456,0,1
2019/2/13,17420,17720,17350,17620,8159134,0,1
2019/2/14,17620,17760,17530,17600,5548189,0,1
2019/2/15,17360,17380,17110,17190,6592279,0,1
2019/2/18,17800,17870,17670,17840,7494854,0,1
2019/2/19,17790,17940,17710,17880,5362797,0,1
2019/2/20,17950,18190,17870,18070,7729133,0,1
2019/2/21,18030,18300,17880,18150,6950477,0,1
2019/2/22,17990,18120,17940,18080,4324772,0,1
2019/2/25,18300,18360,18200,18270,5935587,0,1
2019/2/26,18300,18410,18050,18100,5916239,0,1
2019/2/27,18220,18350,18210,18340,3651442,0,1
2019/2/28,18300,18300,17980,17980,5718121,0,1
2019/3/1,18200,18460,18190,18410,6185341,0,1
2019/3/4,18750,18850,18630,18790,5562170,0,1
2019/3/5,18590,18730,18480,18580,5920584,0,1
2019/3/6,18510,18540,18310,18410,3987692,0,1
2019/3/7,18150,18170,18050,18120,4608618,0,1
2019/3/8,17890,17910,17340,17400,7393189,0,1
2019/3/11,17480,17610,17260,17570,5658198,0,1
2019/3/12,18070,18310,18070,18220,5394432,0,1
2019/3/13,18090,18150,17690,17850,5644734,0,1
2019/3/14,18180,18240,17850,17870,5722087,0,1
2019/3/15,18010,18230,17990,18140,5027563,0,1
2019/3/18,18340,18400,18210,18340,3392649,0,1
2019/3/19,18330,18350,18080,18310,4206887,0,1
2019/3/20,18270,18390,18190,18350,3994181,0,1
2019/3/22,18380,18480,18160,18290,4834302,0,1
2019/3/25,17590,17590,17130,17230,9043605,0,1
2019/3/26,17610,18080,17600,18000,8227914,0,1
2019/3/27,18200,18270,18020,18190,6051983,0,1
2019/3/28,17920,17950,17560,17640,9209295,0,1
2019/3/29,18030,18090,17850,17920,5692169,0,1
2019/4/1,18520,18740,18400,18450,9190828,0,1
2019/4/2,18850,18870,18430,18450,6147347,0,1
2019/4/3,18540,18820,18420,18780,6544148,0,1
2019/4/4,18810,18930,18720,18800,5484910,0,1
2019/4/5,18850,19020,18830,18970,5565007,0,1
2019/4/8,19140,19160,18850,18900,5260899,0,1
2019/4/9,18890,18990,18780,18930,3662096,0,1
